,tasty,name,price,target,category,coffee
76,고소&부드러운,디카페인 싱글오리진,"14,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['온두라스']
77,과일&화사한,에티오피아 시다마 파피초 내추럴,"20,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '시다마', '74110,74112']"
78,꽃향기&은은한,에티오피아 물루게타 문타샤 워시드,"20,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '물루게타 문타샤', '시다모', '74158']"
79,달콤&밸런스,과테말라 라 메르세드 부르봉&티피카,"20,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['San Martin Jilltepeque', '부르봉, 티피카', '라 메르세드']"
80,달콤&고소,브라질 시티오 바라 펄프드내추럴,"13,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 로스팅']","['커피메이커', '핸드드립', '블랙 그대로']","['브라질', '시티오 바라', '미나스 제라이스', '옐로우버번']"
81,밸런스&고소,카넬리안 블렌드,"13,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['콜롬비아 우일라 워시드', '브라질 옐로우 버번 워시드', '에티오피아 리무 내추럴']"
82,고소&긴여운,오닉스 블렌드,"12,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['브라질 옐로우 버번 워시드', '콜롬비아 후일라 워시드', '과테말라 안티구아 워시드', '인도 아자드 힌드 CxR 워시드']"
83,풍부한&초콜릿,아이올라이트 블렌드,"14,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['케냐 풀리워시드', '온두라스 워시드', '과테말라 워시드', '콜롬비아 워시드']"
84,고소&밸런스,페루 카하마르카 디카페인,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '미디엄 로스팅']","['커피메이커', '에스프레소머신', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['페루', '1900-2200m', '카하마르카 하옌', 'Typica, Caturra, Mundo Novo, Catimor, Pache']"
85,과일&상큼,에티오피아 이디도,"15,000원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '에스프레소머신', '커피메이커', '블랙 그대로']","['에티오피아', '1980-2200m', 'idido, Gedeo, SNNP Region', 'Ethiopia Heirloom']"
86,상큼&화사한,레드베릴 블렌드,"14,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['에티오피아 내추럴', '에티오피아 워시드']"
87,과일&허브,예가체프 게뎁 첼베사 G1 에티오피아,"15,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅', '공정 무역']","['핸드드립', '커피메이커', '에스프레소머신', '블랙 그대로']","['에티오피아', '476명의 소규모 자작농들(SNAP Specialty Coffee)', '게뎁 첼베사', '월리쇼,데가(wolisho,Dega)']"
88,견과류&밸런스,하우스블렌드,"9,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 다크 로스팅', '공정 무역']","['에스프레소머신', '모카포트', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['산토스 유로돌체 브라질', '시다모 G4 내추럴 에티오피아']"
89,달콤&묵직한,쏘굿블렌드,"11,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅', '공정 무역']","['에스프레소머신', '모카포트', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['산토스 유로돌체 브라질', '시다모 G4 내추럴 에티오피아', '라스 몬타나 콜롬비아']"
90,화사한&허브,일랑일랑 블렌드,"13,500원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '라이트 미디엄 로스팅']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['코스타리카 허니', '에티오피아 내추럴']"
91,달콤&고소,웰컴블렌드,"16,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅', '공정 무역']","['에스프레소머신', '모카포트', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['브라질 리저브 봄봄(모지아나)', 'HU-10 콜롬비아', '코케 허니 내추럴 에티오피아']"
92,고소&밸런스,허니서클 블렌드,"12,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '커피메이커', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['브라질 내추럴', '코스타리카']"
93,고소&초콜릿,웡카 블렌드,"10,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '다크 로스팅']","['에스프레소머신', '커피메이커', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['에티오피아 내추럴', '인도 워시드', '브라질 내추럴']"
94,과일&초콜릿,땡큐블렌드,"16,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅', '공정 무역']","['에스프레소머신', '모카포트', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['마이소르 너겟 엑스트라볼드 워시드 인도', '예가체프 G1 첼베사 워시드 에티오피아', '코케 허니 내추럴 에티오피아']"
95,달콤&밸런스,콜롬비아 후일라 수프리모,"16,000원
250g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['콜롬비아', '후일라', 'CATURRA,CASTTILOW']"
96,쌉쌀&고소,꼬수운돌솥밥 블렌딩,"9,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅']","['커피메이커', '에스프레소머신', '모카포트', '블랙 그대로', '우유 넣은 라떼']",['브라질 세라도 NY2 파인컵 네추럴']
97,꽃향기&은은한,콜롬비아 루이스 아니발 게이샤 워시드,"23,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅', '직접 무역']","['커피메이커', '핸드드립', '에스프레소머신', '블랙 그대로']","['콜롬비아', 'Villa Betulia', 'Huila', 'Geisha']"
98,초콜릿&달콤,디카페인 에티오피아 짐마,"16,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['에스프레소머신', '커피메이커', '모카포트', '블랙 그대로', '우유 넣은 라떼']","['에티오피아', 'Ethiopia', 'Heirloom varieities']"
99,과일&꽃향기,에티오피아 고로,"16,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']",['고로']
100,고소&견과류,과테말라 SHB 스위스워터 디카페인,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '커피메이커', '에스프레소머신', '블랙 그대로']","['GUATEMALA', 'BOURBON,CATURRA,CATUAI']"
101,밸런스&부드러운,블렌드 애플 레드,"11,500원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '라이트 미디엄 로스팅']","['에스프레소머신', '모카포트', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['브라질 술데미나스 펄프드 내추럴', '콜롬비아 나리노 수프리모', '에티오피아 예가체프 G2']"
102,고소&견과류,블렌드 너티 퍼플,"11,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['브라질 술데미나스 펄프드 내추럴', '콜롬비아 나리노 수프리모', '인도 카피로얄 로부스타 AA']"
103,꽃향기&깔끔한,블렌드 캔디 그린,"12,500원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '라이트 미디엄 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['예가체프 G2', '콜롬비아 나리노 수프리모', '과테말라 안티구아 SHB 필라델피아']"
104,달콤&고소,스너그 하우스 디카페인 블렌드,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['페루 디카페인', '콜롬비아 디카페인']"
105,과일&꽃향기,나이트폴 블렌드,"15,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '미디엄 로스팅']",[],"['에티오피아 네츄럴', '에티오피아 워시드']"
106,고소&견과류,포레스트 블렌드,"12,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 다크 로스팅']",[],"['브라질 펄프드 네츄럴', '과테말라 워시드']"
107,묵직한&초콜릿,문나이트 블렌드,"12,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '다크 로스팅']",[],"['콜롬비아 워시드', '케냐 워시드']"
108,과일&달콤,에티오피아 쿠쿠세 내추럴,"16,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']",[],"['에티오피아', '쿠쿠세', '시다모, 벤사', '74158, Wolisho']"
109,달콤&화사한,과테말라 엘 피날 게이샤 워시드,"24,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']",[],"['게이샤', '엘 피날']"
110,초콜릿&밸런스,블렌드 루트 블랙,"12,500원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '블랙 그대로', '우유 넣은 라떼']","['브라질 술데미나스 펄프드 내추럴', '과테말라 안티구아 SHB 필라델피아', '코스타리카 SHB EP 라로사', '인도네시아 만델링 G1 TP']"
111,과일&꽃향기,에티오피아 시다마 파피초 내추럴,"18,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅']",[],"['에티오피아', '가타 다예 벤사', '시다마 봄베', '74110, 74112']"
112,상큼&꽃향기,에티오피아 반코 고티티 G1 워시드,"15,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']",[],"['에티오피아', 'Gedeo', 'Local Selected']"
113,밸런스&부드러운,캠프파이어 블렌드,"15,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['브라질 몬테알토', '콜롬비아 포파얀', '과테말라 와이칸']"
114,상큼&깔끔한,에티오피아 코케 허니 예가체프 G1,"18,000원
250g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '에스프레소머신', '에어로프레스', '블랙 그대로']","['에티오피아', '예가체프', '에얼룸']"
115,고소&묵직한,콜롬비아 엑셀소 EP 디카페인 마운틴 워터,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '에스프레소머신', '모카포트', '블랙 그대로', '우유 넣은 라떼']","['콜롬비아', '후일라', '티피카']"
116,상큼&부드러운,에티오피아 모모라 내추럴 구지 G1,"16,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '모모라', '구지', 'Heirloom']"
117,상큼&부드러운,에티오피아 시다마 벤사 베켈레 벨라이초 내추럴,"20,000원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '프렌치프레스', '블랙 그대로']","['에티오피아', '시다마', '74158+Wolisho']"
118,달콤&부드러운,에디오피아 시다모 물루게타 문타샤,"22,000원
200g","['매주 월 로스팅', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '블랙 그대로']","['에티오피아', '시다모', '74158+볼리쇼 74158+Wolisho']"
119,달콤&부드러운,케냐 키린야가 캄완기 AA TOP,"16,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '프렌치프레스', '블랙 그대로']","['케냐', '키린야가', 'Ruiru11+Batain+SL28']"
120,허브&풍부한,"LIGHT, LIGHTER 예멘 알사드르 내추럴","19,000원
180g","['매주 수 로스팅', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '에어로프레스', '블랙 그대로']","['에콰도르', '웨스턴 하라즈, 마자나', '알사드르']"
121,꽃향기&과일,온두라스 아카시아스 파라이네마 내추럴,"25,000원
200g","['매주 월 로스팅', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '에스프레소머신', '블랙 그대로']","['온두라스', '라스 아카시아스', '마르까라, 라 파즈', '파라이네마']"
122,과일&달콤,에티오피아 시다마 벤사 케라모 내추럴,"20,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['에스프레소머신', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['에티오피아', '케라모 다예벤사', '시다모', '74158']"
123,달콤&상큼,콜롬비아 엘 디비소 시드라 내추럴,"20,000원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '블랙 그대로']","['콜롬비아', '엘 디비소', '후일라', '시드라']"
124,화사한&긴여운,에티오피아 두완초 내추럴,"19,000원
180g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '에스프레소머신', '에어로프레스', '블랙 그대로', '우유 넣은 라떼']","['에티오피아', '시다모', '두완초']"
125,꽃향기&달콤,에티오피아 구지 라요 타라가 워시드,"17,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '블랙 그대로']","['에티오피아', '구지', '74158+볼리소']"
126,밸런스&초콜릿,콜롬비아 디카페인,"19,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '미디엄 다크 로스팅']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼', '설탕 넣어서']","['콜롬비아', '후일라', '티피카']"
127,달콤&밸런스,볼리비아 솔 데 라 마냐나 워시드,"16,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '프렌치프레스', '블랙 그대로', '설탕 넣어서']","['볼리비아', '솔 데 라 마냐나', '카라나비', '버본 + 카투라 + 카투아이']"
128,꽃향기&과일,테베 부르카 싱글 버라이어티,"15,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '커피메이커', '에스프레소머신', '블랙 그대로']","['에티오피아', '구지', '74110']"
129,달콤&부드러운,페루 엘 리몬 내추럴,"17,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '에어로프레스', '커피메이커', '블랙 그대로']","['페루', '엘 리몬', '치리 노스', '카투라']"
130,달콤&부드러운,페루 세드로스 #2 워시드 오가닉,"22,000원
250g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅', '공정 무역', '유기농 커피']","['핸드드립', '에스프레소머신', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['페루', 'Cedors Community Smallholders', '산 이그나시오', '카투라 + 버본 + 파체 + 카티모르']"
131,고소&견과류,콜롬비아 엘 카르멘 디카프,"20,000원
250g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '미디엄 다크 로스팅', '공정 무역']","['핸드드립', '에스프레소머신', '콜드브루', '블랙 그대로', '우유 넣은 라떼', '설탕 넣어서']","['콜롬비아', '엘카르멘', '후일라', '카투라+카스틸로']"
132,고소&부드러운,콜롬비아 엘 카르멘 워시드,"20,000원
250g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 로스팅', '공정 무역']","['핸드드립', '에스프레소머신', '프렌치프레스', '블랙 그대로', '우유 넣은 라떼', '설탕 넣어서']","['콜롬비아', '엘카르멘', '후일라', '카투라+카스틸로']"
133,상큼&과일,에티오피아 사사바 내추럴,"21,000원
250g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅', '공정 무역']","['핸드드립', '에스프레소머신', '콜드브루', '블랙 그대로', '우유 넣은 라떼']","['에티오피아', '사사바', '구지', '에얼룸']"
134,달콤&고소,보난자 블랜딩,"19,000원
250g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅', '공정 무역']","['핸드드립', '에스프레소머신', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['브라질 미나스 제라이스 산타클라라 펄프드내추럴', '콜롬비아 후일라 피탈리토 엘카르멘 워시드']"
135,견과류&달콤,디카프 브라질 NY2/3 CC Water,"15,000원
250g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '에스프레소머신', '모카포트', '블랙 그대로']","['브라질', '문도 노보,카투아이,버번']"
136,상큼&부드러운,피치 슬럽 블렌드,"15,000원
250g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '라이트 미디엄 로스팅']","['핸드드립', '에스프레소머신', '에어로프레스', '블랙 그대로', '우유 넣은 라떼']","['에티오피아 리무 볼렌소 혼합종 내추럴', '콜롬비아 후일라 라플라타 카투라 콜롬비아 카스틸로 AA+ 워시드']"
137,밸런스&풍부한,"DEEP, DEEPLY 르완다 무지나 워시드","19,000원
180g","['매주 수 로스팅', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로']","['르완다', '무지나']"
138,달콤&깔끔한,바이올렛 블렌드,"15,800원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '라이트 미디엄 로스팅']","['에스프레소머신', '핸드드립', '에어로프레스', '블랙 그대로']","['에티오피아 내추럴', '콜롬비아 워시드']"
139,고소&부드러운,율 디캐프 다크,"15,800원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '블렌드', '다크 로스팅']","['에스프레소머신', '모카포트', '에어로프레스', '블랙 그대로', '우유 넣은 라떼', '설탕 넣어서']","['콜롬비아 디카페인 워터프로세스', '과테말라 디카페인 워터프로세스']"
140,밸런스&깔끔한,율 디캐프,"15,800원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '블렌드', '라이트 로스팅']","['핸드드립', '에어로프레스', '커피메이커', '블랙 그대로']","['콜롬비아 디카페인 워터프로세스', '과테말라 디카페인 워터프로세스']"
141,고소&묵직한,다크 아이보리 블렌드,"15,800원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '다크 로스팅']","['에스프레소머신', '에어로프레스', '모카포트', '우유 넣은 라떼', '설탕 넣어서', '시럽 넣어서']","['브라질 내추럴', '콜롬비아 워시드']"
142,밸런스&부드러운,아이보리 블렌드,"13,800원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '커피메이커', '에어로프레스', '우유 넣은 라떼']","['브라질 내추럴', '콜롬비아 워시드']"
143,고소&묵직한,다크초콜릿 블렌드,"14,800원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '다크 로스팅']","['에스프레소머신', '에어로프레스', '모카포트', '우유 넣은 라떼', '설탕 넣어서', '시럽 넣어서']","['브라질 내추럴', '콜롬비아 워시드', '인도 아라비카']"
144,밸런스&묵직한,초콜릿 블렌드,"15,800원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '에어로프레스', '커피메이커', '우유 넣은 라떼']","['브라질 내추럴', '콜롬비아 워시드', '인도 아라비카']"
145,상큼&부드러운,케냐 AA 워시드,"16,000원
250g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '에스프레소머신', '블랙 그대로']","['케냐', 'SL28+SL34+Ruiru 11+Batian']"
146,달콤&부드러운,코스타리카 엘 베네피시오 블랙 허니,"16,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '에스프레소머신', '커피메이커', '블랙 그대로']","['코스타리카', '엘 베네피시오', '산마르코 따라주', '카투아이']"
147,상큼&깔끔한,에티오피아 시다마 벤사 케라모 워시드,"15,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '에어로프레스', '블랙 그대로']","['에티오피아', '케라모', '시다모', '2260-2360mm', '74158']"
148,쌉쌀&묵직한,W 블렌드,"5,500원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '다크 로스팅']","['에스프레소머신', '콜드브루', '블랙 그대로', '우유 넣은 라떼']","['베트남 로부스타 G1 웻폴리시드', '브라질 세하도 몬테 카르멜로 내추럴', '인도 카피로얄 AA 워시드']"
149,고소&달콤,F 블렌드,"9,200원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '콜드브루', '블랙 그대로', '우유 넣은 라떼']","['브라질 미나스 제라이스 그란자 송 프란시스코 펄프드 내추럴', '콜롬비아 나리노 산 로렌조 워시드']"
150,밸런스&달콤,R 블렌드,"10,400원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '콜드브루', '블랙 그대로', '우유 넣은 라떼']","['과테말라 웨웨테낭고 캡진 엘 쿠쿠루초 워시드', '브라질 미나스 제라이스 그란자 송 프란시스코 펄프드 내추럴', '에티오피아 예가체프 코체르 첼바 내추럴']"
151,고소&부드러운,카라멜 슬럽 블렌드,"13,000원
250g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['콜롬비아 후일라 라플라타 카투라 콜롬비아 카스틸로 워시드', '브라질 산타이네스 옐로우 버본 스페셜티 내추럴']"
152,꽃향기&과일,나비,"23,000원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '블렌드', '미디엄 로스팅', '직접 무역']","['핸드드립', '프렌치프레스', '커피메이커', '블랙 그대로']","['에티오피아 이디도 비르투칸 부투 혼합종 내추럴', '콜롬비아 아르메니아 비야라소 핑크버본 워시드 무산소 발효']"
